file_id,activity_id,sport,start_time,total_duration_seconds,total_distance_meters,total_calories,max_speed_ms,notes,file_path
_IQk5Vy3Vl53,"
      2023-11-25T14:33:22.545Z
",Running,NA,900.008,2520.642158028202,146,3.171367088330582,NA,/cloud/project/running_data//_IQk5Vy3Vl53.xml
_OZHMzxO7J6P,"
      2023-10-22T14:44:23.173Z
",undefined,NA,278.307,0,0,0,NA,/cloud/project/running_data//_OZHMzxO7J6P.xml
-6_YwFBepYPW,"
      2024-11-08T11:08:59.345Z
",Running,NA,1500.972,3539.416180137441,198,2.5967209107620537,NA,/cloud/project/running_data//-6_YwFBepYPW.xml
-Wxqp5c1YDTz,"
      2024-12-08T15:20:38.038Z
",Running,NA,1500.043,3513.387700009976,193,2.5773448526004348,NA,/cloud/project/running_data//-Wxqp5c1YDTz.xml
025clkEq69rA,"
      2025-06-27T11:55:06.949Z
",Running,NA,1883.719,4126.632507279982,219,3.806478482584747,NA,/cloud/project/running_data//025clkEq69rA.xml
0rtK8trjqrK8,"
      2023-05-29T15:51:42.260Z
",Running,NA,649.591,1615.9302455151922,90,2.7729786500338784,NA,/cloud/project/running_data//0rtK8trjqrK8.xml
18KBXn_TmLyh,"
      2024-01-06T18:23:46.547Z
",Running,NA,2071.599,5005.419826523397,290,3.297247013736207,NA,/cloud/project/running_data//18KBXn_TmLyh.xml
1lihfMXRhMcw,"
      2025-03-17T20:12:42.242Z
",Running,NA,180.002,413.3784353917,22,2.619187873304935,NA,/cloud/project/running_data//1lihfMXRhMcw.xml
1OnD74i9MkM0,"
      2023-09-29T12:02:59.629Z
",Running,NA,288.075,846.1212424777917,48,4.721196920123941,NA,/cloud/project/running_data//1OnD74i9MkM0.xml
1xYSaMLTSAXT,"
      2022-11-03T23:51:58.739Z
",Running,NA,1328.964,3603.2520443804183,205,2.8607790317503676,NA,/cloud/project/running_data//1xYSaMLTSAXT.xml
2RcjeNJzBdSH,"
      2025-02-08T14:28:24.313Z
",Running,NA,198.975,358.6280731650768,18,2.385059699957742,NA,/cloud/project/running_data//2RcjeNJzBdSH.xml
2yOICkxiamXO,"
      2023-05-10T14:03:00.943Z
",Running,NA,900.008,2188.738945116522,129,3.987658150673833,NA,/cloud/project/running_data//2yOICkxiamXO.xml
3FaQUZj3JWPb,"
      2024-11-10T15:11:18.707Z
",Running,NA,900.996,2127.8217712762403,126,2.589167693980304,NA,/cloud/project/running_data//3FaQUZj3JWPb.xml
3mjTJlTAGe1L,"
      2024-11-03T15:18:44.902Z
",Running,NA,41.857,69.60849926446099,3,2.4807525860543858,NA,/cloud/project/running_data//3mjTJlTAGe1L.xml
4_Vh7-UA11KK,"
      2025-03-26T11:46:46.806Z
",Running,NA,2078.511,5014.2582844916105,277,3.2153344226063076,NA,/cloud/project/running_data//4_Vh7-UA11KK.xml
4azVg8YAprd2,"
      2024-07-29T11:22:18.942Z
",Running,NA,1500.974,3585.1111935281965,198,2.768476693675356,NA,/cloud/project/running_data//4azVg8YAprd2.xml
4Lbo7brg79i9,"
      2024-09-26T11:04:29.039Z
",Running,NA,809.863,1888.30733128048,160,2.942254879709255,NA,/cloud/project/running_data//4Lbo7brg79i9.xml
5at2W0LIsh2y,"
      2025-02-17T14:56:21.809Z
",Running,NA,555.987,1120.537210721058,58,2.259525958699548,NA,/cloud/project/running_data//5at2W0LIsh2y.xml
6eVZaUIl10oM,"
      2023-09-10T13:12:28.460Z
",Running,NA,300.703,766.1071194126268,44,3.0260494654838697,NA,/cloud/project/running_data//6eVZaUIl10oM.xml
6pIKVb5G_h-A,"
      2023-05-22T19:56:29.285Z
",Running,NA,720.007,1677.910631073173,92,2.53373953982775,NA,/cloud/project/running_data//6pIKVb5G_h-A.xml
6uU6yFlaDQoU,"
      2023-11-12T15:51:26.248Z
",undefined,NA,414.705,0,0,0,NA,/cloud/project/running_data//6uU6yFlaDQoU.xml
720g2fIQ-mgU,"
      2025-07-05T23:52:40.125Z
",Running,NA,1279.417,3128.3339883682806,175,2.931432969065235,NA,/cloud/project/running_data//720g2fIQ-mgU.xml
